🏪  VITRINE DO SITE — Produtos Selecionados para Publicar,,,,,,,,
"Monte aqui a curadoria: 1 produto, várias plataformas, escolhe o melhor link para publicar",,,,,,,,
ID Site,Produto,Categoria,Link Amazon,Melhor Plataforma,Preço Menor R$,Status no Site,Slug,Observações
SITE-0001,Semente de Chia Natural Embalagem Premium Zip Lock - da VIDA (1Kg)da VIDA · 1da VIDA · 1,Saúde,https://amzn.to/3OJvixx,Amazon,,Ativo,,
SITE-0002,Vitamina D3 50.000UI com TCM – 12 Cápsulas - Suplemento Alimentar,Saúde,https://amzn.to/4vCD9O7,Amazon,,Ativo,,
SITE-0003,"Vitamina D3 Liquida, 2000UI por gota, formlado com óleo de abacate, Sabor Limão, Unidade 20mL, Bigens (Kit 3)",Saúde,https://amzn.to/4mEHagW,Amazon,,Ativo,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ID Site,Produto,Categoria,Link Merc.Livre,Melhor Plataforma,Preço Menor R$,Status no Site,Slug,Observações
SITE-0013,Creatina Carbo Fuel 300G – Energia e Força,Fitness,https://meli.la/2KUDXm9,Mercado Livre,,Ativo,,
SITE-0014,Tênis Branco Feminino Vili Para Caminhada Academia Treino,Fitness,https://meli.la/1L4CPip,Mercado Livre,,Ativo,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ID Site,Produto,Categoria,Link Shopee,Melhor Plataforma,Preço Menor R$,Status no Site,Slug,Observações
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ID Site,Produto,Categoria,Link AliExpress,Melhor Plataforma,Preço Menor R$,Status no Site,Slug,Observações
